Timestamp,Do you consent to participate in this academic research survey?,Age,"Program or Field of Study (e.g., BSc CSIT, BBA, MBBS, etc.)", Current Year of Study,Living Situation,Current CGPA(average GPA that you remember) or Overall CGPA (if graduated),Have you ever given compart exam or repeated course?,Average attendance in semesters till now,Daily study hours (outside class including the time of assignments and projects),I revise class materials regularly,Rate your faculty's academic teaching capability,"Use of online platforms (YouTube, Coursera, etc.)",How often do you do group studies?,Do you ask for help with teachers while facing academic difficulties?,Stress level regarding academics,Average sleep per night,Do you feel supported by friends or family in your academics?,How is your friend circle academically?,Estimated monthly household income (NPR),Are you the first in your family to attend university?,Do you work a part-time job while studying?,How much does financial pressure affect your studies?,Do family responsibilities affect your study time?,I am confident I will complete my degree,I feel motivated to do well in university,Anything else you'd like to share about your academic experience or challenges?,Column 28
05/31/2025 15:27:34,Yes,23,B.Tech in AI,Graduated,Other,4.0,No,75%–90%,1 to 2,3,3,Sometimes,Rarely,Rarely,3,6–7 hrs,Rarely,5,"<15,000",Yes,No,5,Sometimes,5,4,,
05/24/2025 19:09:18,Yes,27,MPhil,4th,Hostel,3.85,No,75%–90%,2 to 3,3,4,Rarely,Never,Sometimes,3,6–7 hrs,Frequently,4,">50,000",No,No,3,Sometimes,4,5,,
05/13/2025 11:25:35,Yes,21,CM,2nd,At home with family,3.33,No,75%–90%,1 to 2,1,2,Sometimes,Rarely,Sometimes,3,5–6 hrs,Always,4,"15,000–30,000",Yes,No,4,No,5,1,,
06/12/2025 22:19:47,Yes,24,LLB,2nd,Rented/shared room,2.55,No,75%–90%,<1,4,3,Never,Sometimes,"Yes, regularly",2,5–6 hrs,Sometimes,4,"15,000–30,000",Yes,No,4,No,1,4,,
07/10/2025 05:44:38,Yes,20,B.E,2nd,At home with family,2.99,No,75%–90%,<1,4,1,Frequently,Never,Rarely,3,<5 hrs,Never,2,">50,000",No,Yes,5,Rarely,1,4,,
05/24/2025 16:17:14,Yes,22,BSc.CS,Graduated,At home with family,3.05,No,50%–75%,<1,2,3,Frequently,Frequently,Rarely,5,6–7 hrs,Sometimes,4,"30,000–50,000",No,No,5,Rarely,5,4,Education is the most powerful weapon.,
07/20/2025 16:01:58,Yes,23,CE,5th,Alone,3.98,No,>90%,<1,5,3,Rarely,Rarely,"Yes, regularly",2,>8 hrs,Never,1,">50,000",No,Yes,3,Rarely,5,4,,
06/14/2025 18:10:11,Yes,23,BDS,Graduated,Rented/shared room,3.86,No,50%–75%,<1,1,5,Frequently,Never,"Yes, regularly",5,5–6 hrs,Sometimes,3,"30,000–50,000",Yes,No,5,Rarely,5,4,,
07/02/2025 12:13:51,Yes,18,BIM,Graduated,Rented/shared room,3.43,No,50%–75%,3 to 4,2,3,Always,Sometimes,No,2,7–8 hrs,Never,3,"<15,000",No,No,4,Sometimes,3,3,,
07/11/2025 11:19:05,Yes,24,B.E,4th,At home with family,3.69,Yes,>90%,3 to 4,2,4,Rarely,Rarely,"Yes, regularly",1,<5 hrs,Sometimes,3,"15,000–30,000",No,No,2,No,4,1,,
